"refseq_mrna","hgnc_symbol","prot_length"
"NM_033543","CEACAM21",293
"NM_024074","TMEM38A",300
"NM_013360","ZNF222",452
"NM_001031850","PSG6",425
"NM_022496","ACTR6",397
"NM_001206992","NR1H4",483
"NM_004460","FAP",761
"NM_002502","NFKB2",900
"NM_001166280","MUSK",784
"NM_021240","DMRT3",473
"NM_032523","OSBPL6",935
"NM_003881","CCN5",251
"NM_001127695","CTSA",481
"NM_001009943","ANKRD16",305
"NM_022134","GAL3ST2",399
"NM_017754","UHRF1BP1",1441
"NM_014028","OSTM1",335
"NM_016247","IMPG2",1242
"NM_001102","ACTN1",893
"NM_001346870","NAIP",1404
"NM_022444","SLC13A1",596
"NM_001324400","SLC13A1",596
"NM_018938","PCDHB4",796
"NM_018936","PCDHB2",799
"NM_001382251","HSPB11",145
"NM_001382249","HSPB11",145
"NM_001316935","HSPB11",145
"NM_001382254","HSPB11",145
"NM_001382252","HSPB11",145
"NM_001382253","HSPB11",145
"NM_001382250","HSPB11",145
"NM_016126","HSPB11",145
"NM_018571","STRADB",419
"NM_001256348","SEMA5B",1058
"NM_001376688","SNAP91",903
"NM_001376717","SNAP91",903
"NM_001376701","SNAP91",903
"NM_001376713","SNAP91",903
"NM_001376699","SNAP91",903
"NM_001376689","SNAP91",903
"NM_001256718","SNAP91",903
"NM_001376714","SNAP91",903
"NM_001376700","SNAP91",903
"NM_001376690","SNAP91",903
"NM_001376735","SNAP91",903
"NM_001376691","SNAP91",903
"NM_001376692","SNAP91",903
"NM_001363677","SNAP91",903
"NM_001376715","SNAP91",903
"NM_001316320","PLOD1",728
"NM_000302","PLOD1",728
"NM_001146071","TDRD3",652
"NM_030794","TDRD3",652
"NM_001364301","OXCT1",521
"NM_001364302","OXCT1",521
"NM_000436","OXCT1",521
"NM_001364299","OXCT1",521
"NM_001364300","OXCT1",521
"NM_014347","ZNF324",554
"NM_001353405","ZNF416",595
"NM_017879","ZNF416",595
"NM_001009","RPS5",205
"NM_020853","FAM234B",623
"NM_013439","PILRA",304
"NM_018427","RRN3",652
"NM_025098","MOGAT2",335
"NM_000486","AQP2",272
"NM_014473","DIMT1",314
"NM_001134335","EIF2AK1",631
"NM_014413","EIF2AK1",631
"NM_016616","NME8",589
"NM_017549","EPDR1",225
"NM_006428","MRPL28",257
"NM_005331","HBQ1",143
"NM_002483","CEACAM6",345
"NM_018047","RBM22",421
"NM_002153","HSD17B2",388
"NM_001039538","MAP2",560
"NM_001375474","MAP2",560
"NM_001375508","MAP2",560
"NM_001375496","MAP2",560
"NM_001375499","MAP2",560
"NM_031847","MAP2",560
"NM_004724","ZW10",780
"NM_000213","ITGB4",1823
"NM_014330","PPP1R15A",675
"NM_003302","TRIP6",477
"NM_002390","ADAM11",770
"NM_002294","LAMP2",411
"NM_003059","SLC22A4",552
"NM_000078","CETP",494
"NM_005954","MT3",69
"NM_002820","PTHLH",176
"NM_003222","TFAP2C",451
"NM_177973","SULT2B1",366
"NM_133180","EPS8L1",724
"NM_001145798","CACNB4",459
"NM_175850","DNMT3B",846
"NM_014012","REM1",299
"NM_030815","PDRG1",134
"NM_001258331","EPB41L1",780
"NM_015316","PPP1R13B",1091
"NM_198994","TGM6",707
"NM_020343","RALGAPA2",1874
"NM_001320142","RPL6",289
"NM_001320141","RPL6",289
"NM_000970","RPL6",289
"NM_001320139","RPL6",289
"NM_001320138","RPL6",289
"NM_001320140","RPL6",289
"NM_016649","ESF1",852
"NM_024959","SLC8B1",585
"NM_001009925","TMEM230",121
"NM_016816","OAS1",401
"NM_001385733","SIRT4",315
"NM_001385735","SIRT4",315
"NM_012240","SIRT4",315
"NM_001385734","SIRT4",315
"NM_015939","TRMT6",498
"NM_015302","HAUS5",634
"NM_003365","UQCRC1",481
"NM_016573","GMIP",971
"NM_002286","LAG3",526
"NM_001382226","MLF2",249
"NM_001382225","MLF2",249
"NM_023112","OTUB2",235
"NM_003573","LTBP4",1588
"NM_003223","TFAP4",339
"NM_005707","PDCD7",486
"NM_016630","SPG21",309
"NM_003741","CHRD",956
"NM_001304473","CHRD",956
"NM_001304474","CHRD",956
"NM_001278638","FLT3LG",154
"NM_001278637","FLT3LG",154
"NM_032520","GNPTG",306
"NM_005895","GOLGA3",1499
"NM_001144894","CD209",361
"NM_004429","EFNB1",347
"NM_012201","GLG1",1204
"NM_016941","DLL3",619
"NM_020378","NAT14",207
"NM_001323892","AASDH",1099
"NM_181806","AASDH",1099
"NM_001323890","AASDH",1099
"NM_000108","DLD",510
"NM_001171","ABCC6",1504
"NM_001351800","ABCC6",1504
"NM_017801","CMTM6",184
"NM_000042","APOH",346
"NM_004890","SPAG7",228
"NM_001291230","ESR1",596
"NM_001122741","ESR1",596
"NM_001291241","ESR1",596
"NM_000125","ESR1",596
"NM_001385572","ESR1",596
"NM_012419","RGS17",211
"NM_032376","TMEM101",258
"NM_199512","CCDC80",951
"NM_199511","CCDC80",951
"NM_001308083","CMA1",137
"NM_006263","PSME1",250
"NM_001281529","PSME1",250
"NM_001805","CEBPE",282
"NM_017807","OSGEP",336
"NM_017769","G2E3",707
"NM_000359","TGM1",818
"NM_152380","TBX15",497
"NM_014466","TEKT2",431
"NM_199242","UNC13D",1091
"NM_001349178","XYLB",537
"NM_005108","XYLB",537
"NM_001349179","XYLB",537
"NM_000667","ADH1A",376
"NM_015515","KRT23",423
"NM_001254","CDC6",561
"NM_015665","AAAS",547
"NM_012117","CBX5",192
"NM_014458","KLHL20",610
"NM_001365900","FMO2",536
"NM_001460","FMO2",536
"NM_001301347","FMO2",536
"NM_001369691","DHPS",370
"NM_001930","DHPS",370
"NM_014353","RAB26",257
"NM_005047","PSMD5",505
"NM_018946","NANS",360
"NM_017893","SEMA4G",844
"NM_012217","TPSD1",243
"NM_000847","GSTA3",223
"NM_002754","MAPK13",366
"NM_014051","TMEM14A",100
"NM_022551","RPS18",153
"NM_033177","GPANK1",357
"NM_001199237","GPANK1",357
"NM_001387961","BAG6",1127
"NM_001387986","BAG6",1127
"NM_001387963","BAG6",1127
"NM_001387964","BAG6",1127
"NM_001387949","BAG6",1127
"NM_001387987","BAG6",1127
"NM_001387951","BAG6",1127
"NM_080702","BAG6",1127
"NM_001387982","BAG6",1127
"NM_001387990","BAG6",1127
"NM_080703","BAG6",1127
"NM_006295","VARS1",1265
"NM_030651","PRRT1",307
"NM_007149","ZNF184",752
"NM_001347832","ZNF184",752
"NM_014000","VCL",1135
"NM_012238","SIRT1",748
"NM_003243","TGFBR3",852
"NM_006858","TMED1",228
"NM_198055","MZF1",735
"NM_024578","OCEL1",265
"NM_002812","PSMD8",351
"NM_052874","STX1B",289
"NM_004765","BCL7C",218
"NM_001405","EFNA2",214
"NM_001687","ATP5F1D",169
"NM_020637","FGF22",171
"NM_001136503","SMIM24",131
"NM_004970","IGFALS",606
"NM_016496","MARCHF2",247
"NM_001369778","MARCHF2",247
"NM_001369777","MARCHF2",247
"NM_001005415","MARCHF2",247
"NM_004146","NDUFB7",138
"NM_138501","TECR",309
"NM_012458","TIMM13",96
"NM_004359","CDC34",237
"NM_173481","MISP",680
"NM_015675","GADD45B",161
"NM_130760","MADCAM1",383
"NM_002969","MAPK12",368
"NM_000185","SERPIND1",500
"NM_004782","SNAP29",259
"NM_030573","THAP7",310
"NM_005940","MMP11",489
"NM_002415","MIF",116
"NM_001084393","DDTL",135
"NM_020530","OSM",253
"NM_031937","TBC1D10A",509
"NM_005877","SF3A1",794
"NM_017414","USP18",373
"NM_174975","SEC14L3",401
"NM_004175","SNRPD3",127
"NM_001278656","SNRPD3",127
"NM_002745","MAPK1",361
"NM_000355","TCN2",428
"NM_004076","CRYBB3",212
"NM_014941","MORC2",971
"NM_005984","SLC25A1",312
"NM_001256534","SLC25A1",312
"NM_015715","PLA2G3",510
"NM_006498","LGALS2",133
"NM_020315","PDXP",297
"NM_020437","ASPHD2",370
"NM_002305","LGALS1",136
"NM_052880","PIK3IP1",264
"NM_001013694","SRRD",340
"NM_032051","PATZ1",538
"NM_138797","ANKRD54",301
"NM_033386","MICALL1",864
"NM_024053","CENPM",181
"NM_006855","KDELR3",215
"NM_007068","DMC1",341
"NM_172002","HSCB",236
"NM_001318316","HSCB",236
"NM_015373","CBY1",127
"NM_020243","TOMM22",143
"NM_014433","RSPH14",349
"NM_005080","XBP1",262
"NM_014306","RTCB",506
"NM_001360235","JOSD1",203
"NM_004286","GTPBP1",670
"NM_001365836","PPP6R2",967
"NM_005740","DNAL4",106
"NM_001386866","C22orf31",291
"NM_015370","C22orf31",291
"NM_017584","MIOX",286
"NM_001363816","LMF2",683
"NM_001303494","CBX6",395
"NM_001329536","RHBDD3",387
"NM_012265","RHBDD3",387
"NM_152426","APOBEC3D",387
"NM_006477","RASL10A",204
"NM_001003681","HMGXB4",602
"NM_001362972","HMGXB4",602
"NM_001197","BIK",161
"NM_002133","HMOX1",289
"NM_001202502","NIPSNAP1",285
"NM_003634","NIPSNAP1",285
"NM_006739","MCM5",735
"NM_001085427","ARSA",510
"NM_001085426","ARSA",510
"NM_001085425","ARSA",510
"NM_000487","ARSA",510
"NM_001376515","RASD2",267
"NM_001376516","RASD2",267
"NM_001366725","RASD2",267
"NM_014310","RASD2",267
"NM_015140","TTLL12",645
"NM_001346743","CBX7",252
"NM_175709","CBX7",252
"NM_001097","ACR",422
"NM_182527","CABP7",216
"NM_001033853","RPL3",404
"NM_000967","RPL3",404
"NM_006116","TAB1",505
"NM_138814","PNPLA5",430
"NM_025225","PNPLA3",482
"NM_002473","MYH9",1961
"NM_012473","TXN2",167
"NM_024955","FOXRED2",685
"NM_003753","EIF3D",549
"NM_002854","PVALB",111
"NM_006953","UPK3A",288
"NM_001104595","FAM118A",358
"NM_001278589","ST13",370
"NM_003932","ST13",370
"NM_001346222","IL2RB",552
"NM_001346223","IL2RB",552
"NM_000878","IL2RB",552
"NM_014248","RBX1",109
"NM_031488","L3MBTL2",706
"NM_138481","CHADL",763
"NM_032758","PHF5A",111
"NM_001098","ACO2",781
"NM_002676","PMM1",263
"NM_022766","CERK",538
"NM_001394550","BRD1",1059
"NM_001394551","BRD1",1059
"NM_001349940","BRD1",1059
"NM_001394552","BRD1",1059
"NM_014838","ZBED4",1172
"NM_032019","HDAC10",670
"NM_006871","RIPK3",519
"NM_001293627","PAPOLA",746
"NM_032632","PAPOLA",746
"NM_001293632","PAPOLA",746
"NM_001293628","PAPOLA",746
"NM_005348","HSP90AA1",733
"NM_007361","NID2",1376
"NM_001128920","MARK3",714
"NM_003082","SNAPC1",369
"NM_007192","SUPT16H",1048
"NM_001911","CTSG",256
"NM_001270780","GZMH",247
"NM_033423","GZMH",247
"NM_004131","GZMB",248
"NM_001282954","PRMT5",577
"NM_001282953","PRMT5",577
"NM_001347720","COCH",616
"NM_001348384","POLE2",528
"NM_002692","POLE2",528
"NM_001348385","POLE2",528
"NM_006939","SOS2",1333
"NM_001282236","CDKL1",277
"NM_002863","PYGL",848
"NM_198066","GNPNAT1",185
"NM_005776","CNIH1",145
"NM_006568","CGRRF1",333
"NM_015994","ATP6V1D",248
"NM_018168","CCDC198",297
"NM_016445","PLEK2",354
"NM_004569","PIGH",189
"NM_002788","PSMA3",256
"NM_145870","GSTZ1",217
"NM_001346134","TMED8",326
"NM_213601","TMED8",326
"NM_001346131","TMED8",326
"NM_001346133","TMED8",326
"NM_001010860","SAMD15",675
"NM_012111","AHSA1",339
"NM_004863","SPTLC2",563
"NM_024832","RIN3",986
"NM_006020","ALKBH1",390
"NM_001275","CHGA",458
"NM_017420","SIX4",782
"NM_003049","SLC10A1",350
"NM_001969","EIF5",432
"NM_001130417","SLC8A3",299
"NM_001198953","ZFYVE21",253
"NM_000710","BDKRB1",354
"NM_001386007","BDKRB1",354
"NM_003384","VRK1",397
"NM_001641","APEX1",319
"NM_001244249","APEX1",319
"NM_004643","PABPN1",307
"NM_005864","EFS",562
"NM_032630","CINP",213
"NM_003136","SRP54",505
"NM_004563","PCK2",641
"NM_020529","NFKBIA",318
"NM_016049","EMC9",209
"NM_002818","PSME2",240
"NM_032352","BRMS1L",324
"NM_002687","PNN",718
"NM_182836","RABGGTA",568
"NM_000782","CYP24A1",515
"NM_001388321","PTPRA",794
"NM_001388324","PTPRA",794
"NM_001388323","PTPRA",794
"NM_080840","PTPRA",794
"NM_001385312","PTPRA",794
"NM_001385315","PTPRA",794
"NM_001385321","PTPRA",794
"NM_001385317","PTPRA",794
"NM_001388322","PTPRA",794
"NM_001385304","PTPRA",794
"NM_001385310","PTPRA",794
"NM_001385313","PTPRA",794
"NM_001385318","PTPRA",794
"NM_001385311","PTPRA",794
"NM_016143","NSFL1C",371
"NM_018197","ZFP64",682
"NM_002862","PYGB",844
"NM_006404","PROCR",239
"NM_002466","MYBL2",701
"NM_178491","R3HDML",254
"NM_001372179","PABPC1L",620
"NM_020436","SALL4",1054
"NM_001033521","CSTF1",432
"NM_001033522","CSTF1",432
"NM_001324","CSTF1",432
"NM_199360","TPD52L2",230
"NM_001336","CTSZ",304
"NM_030773","TUBB1",452
"NM_016354","SLCO4A1",723
"NM_139317","BIRC7",299
"NM_001267584","UBOX5",542
"NM_014948","UBOX5",542
"NM_001958","EEF1A2",464
"NM_001256358","PTK6",135
"NM_080823","SRMS",489
"NM_001039140","C20orf27",200
"NM_021158","TRIB3",359
"NM_001301196","TRIB3",359
"NM_001301188","TRIB3",359
"NM_001301193","TRIB3",359
"NM_001301190","TRIB3",359
"NM_001362770","CSNK2A1",392
"NM_177559","CSNK2A1",392
"NM_080676","MACROD2",426
"NM_001370085","SLC52A3",470
"NM_001370086","SLC52A3",470
"NM_001029871","RSPO4",235
"NM_017671","FERMT1",678
"NM_001190898","PDYN",255
"NM_024411","PDYN",255
"NM_001363731","TM9SF4",626
"NM_001304783","TLDC2",216
"NM_080628","TLDC2",216
"NM_003098","SNTA1",506
"NM_000915","OXT",126
"NM_176812","CHMP4B",225
"NM_004139","LBP",482
"NM_080552","SLC32A1",526
"NM_001899","CST4",142
"NM_001362750","AHCY",433
"NM_000687","AHCY",433
"NM_006652","SPINT3",90
"NM_080476","PIGU",436
"NM_005469","ACOT8",320
"NM_020531","APMAP",417
"NM_004786","TXNL1",290
"NM_006471","MYL12A",172
"NM_017831","RNF125",233
"NM_001351612","POLI",679
"NM_001351611","POLI",679
"NM_013955","NOX1",516
"NM_003187","TAF9",265
"NM_004135","IDH3G",394
"NM_145305","SLC25A43",342
"NM_001002916","H2BW1",148
"NM_015419","MXRA5",2829
"NM_182607","VSIG1",388
"NM_002814","PSMD10",227
"NM_000351","STS",579
"NM_001320753","STS",579
"NM_001320754","STS",579
"NM_006667","PGRMC1",196
"NM_139282","RHOXF1",185
"NM_018698","NXT2",198
"NM_001522","GUCY2F",1109
"NM_001142447","ATP1B4",358
"NM_138636","TLR8",1042
"NM_007003","PAGE4",103
"NM_001118885","GLRA2",453
"NM_002063","GLRA2",453
"NM_001042749","STAG2",1269
"NM_001375366","STAG2",1269
"NM_000133","F9",462
"NM_000033","ABCD1",746
"NM_021946","BCORL1",1712
"NM_004979","KCND1",648
"NM_001185076","FMR1",612
"NM_013271","PCSK1N",261
"NM_001031834","RAB40AL",279
"NM_004224","GPR50",618
"NM_006915","RP2",351
"NM_014500","HTATSF1",756
"NM_003254","TIMP1",208
"NM_198510","ITIH6",1314
"NM_000169","GLA",430
"NM_001185085","ATP12A",1046
"NM_019080","NDFIP2",337
"NM_001161407","NDFIP2",337
"NM_001394685","NDFIP2",337
"NM_001507","MLNR",413
"NM_001111035","ACP5",326
"NM_001111034","ACP5",326
"NM_001354048","ARHGEF7",706
"NM_001354051","ARHGEF7",706
"NM_001354049","ARHGEF7",706
"NM_001354050","ARHGEF7",706
"NM_001354055","ARHGEF7",706
"NM_001378244","SGCG",292
"NM_001378245","SGCG",292
"NM_001378246","SGCG",292
"NM_000231","SGCG",292
"NM_001377933","DHRS12",243
"NM_024705","DHRS12",243
"NM_001377932","DHRS12",243
"NM_006418","OLFM4",511
"NM_005741","ZNF263",684
"NM_004530","MMP2",661
"NM_001042428","ZNF205",555
"NM_014321","ORC6",253
"NM_025187","PHAF1",423
"NM_001320541","PHAF1",423
"NM_001320543","PHAF1",423
"NM_001320542","PHAF1",423
"NM_001320540","PHAF1",423
"NM_007074","CORO1A",462
"NM_032935","MT4",63
"NM_001128301","LYRM1",123
"NM_001369638","LYRM1",123
"NM_001369639","LYRM1",123
"NM_001369645","LYRM1",123
"NM_001322039","NUTF2",128
"NM_001322038","NUTF2",128
"NM_005796","NUTF2",128
"NM_004352","CBLN1",194
"NM_012106","ARL2BP",164
"NM_015993","PLLP",183
"NM_002990","CCL22",94
"NM_001361","DHODH",396
"NM_002987","CCL17",95
"NM_022914","ACD",456
"NM_032940","POLR2C",276
"NM_016948","PARD6A",347
"NM_002428","MMP15",670
"NM_024598","USB1",266
"NM_014157","CCDC113",378
"NM_002513","NME3",170
"NM_002811","PSMD7",325
"NM_001160305","SETD6",474
"NM_001369609","SLC38A7",463
"NM_001369608","SLC38A7",463
"NM_018231","SLC38A7",463
"NM_138612","HAS3",282
"NM_018667","SMPD3",656
"NM_003983","SLC7A6",516
